Category,Aerospace and defense,Automotive,Chemicals,Energy and utilities,Engineering and construction,Financial services,"Food, beverages and agriculture",Health care and pharmaceuticals,Household and personal products,Industrial goods,Metals and mining,Oil and gas,Real estate,Retail,Technology,Telecommunications and media,Transportation and logistics,sum,%
SBTi short term,2,16,2,9,5,16,15,22,5,9,1,0,1,13,23,11,13,173,
<=2025,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,
2026-2030,1,13,1,7,3,10,11,18,0,8,1,0,0,19,18,11,9,136,
2030-2060,1,3,1,2,2,2,3,4,5,1,0,0,0,4,5,0,4,32,
RE100,0,7,0,1,2,22,5,9,0,1,0,0,0,9,5,6,1,78,
<=2025,0,0,0,0,0,17,3,5,0,0,0,0,0,3,5,2,1,36,
2026-2030,0,1,0,1,0,3,1,4,1,1,0,0,0,4,6,2,1,22,
2030-2060,0,6,0,0,0,2,1,0,0,0,0,0,0,2,4,2,0,20,
Carbon Neutral,1,24,2,9,10,19,2,5,0,2,0,4,0,2,6,0,0,105,
<=2025,1,1,0,0,0,1,0,0,0,0,0,9,7,0,3,3,4,3,
2026-2030,0,1,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,19,
2030-2060,0,22,2,7,10,12,2,1,0,2,0,0,0,3,3,0,0,83,
Net Zero,3,6,4,10,7,72,12,17,6,8,13,21,1,26,23,13,11,253,
<=2025,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,
2026-2030,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,
2030-2060,3,6,4,10,7,69,12,17,0,8,12,21,0,3,2,11,11,242,
